comment,label
"Chất lượng áo đẹp , với giá này thì cực kỳ hợp lý","POS"
"Vải khá dày chất lượng, phù hợp với giá tiền","POS"
"Áo đẹp, vừa vặn, giao hàng cũng nhanh","POS"
"Vải đẹp chất ok","POS"
"Chất vải được, mẫu mã đẹp ,đúng với mô tả . Rất là đáng tiền , mọi người nên mua nha","POS"
"Hình ảnh mang tính chất nhận xu 👌👌","NEU"
"chất lượng phu hợp với giá tiền giao hàng nhanh đóng gói cẩn thận","POS"
"áo của shop này đẹp chất lượng lắm ","POS"
"Tôi rất hài lòng vì giá như cho không","POS"
"Mua đồ ở shop này nhiều rồi nên ưng lắm ạ shipper cũng thân thiện nữa","POS"
"Shipper vui tính , dễ thương áo dày , nặng , đẹp","POS"
"Shop giao nhanh hàng oke shiper thân thiện","POS"
"Áo xinhh lắm nha mn đường chỉ may rất đẹp anh Shipped rất thân thiện 10₫ kc nhưng lần sau sẽ ghé lại shop nữa ạ","POS"
"Áo đẹp giao hàng hơi lâu một chút","NEU"
"chất liệu vải đẹp nha mn , mình khá là ưng với chất liệu của sp ( hình ảnh mag tc nhận xu )","NEU"
"Áo đẹp, chất liệu mát, màu sắc rất đẹp. Mọi người nên mua","POS"
"Tuyệt vờii. Tks shop nha.lần sau mk mua tiếp nè","POS"
"Giao hàng nhanh đúng với mô tả đúng màu ok nên mua","POS"
"Vải mịn, mát nhưng mà hơi mỏng","NEU"
"Shop gửi hàng sớm, tgian giao nhanhh, so với giá rhif oklaaaa","POS"
"áo mặc khá mát và nhẹ màu khá xinh vừa in luôn ai tầm 47-60kg mặc là đẹp chứ hơn là chật á tui 48kg mặc vừa luôn","POS"
"Áo vừa với giá tiền, mặc thoải mái mùa hè cho ai hay chạy nhảy ạ. Với giá này cũng k kì vọng nhiều nma khá oke nhaa mnggg","POS"
"👉𝐀𝐢 𝐜ầ𝐧 𝐛á𝐧𝐡 𝐜𝐫𝐞𝐩𝐞 𝐯à 𝐠à ủ 𝐦𝐮ố𝐢 𝐥𝐢ê𝐧 𝐡𝐞̣̂ 𝐥𝐢ề𝐧 𝐧𝐠𝐚𝐲 👈","NEU"
"Có shipper thân thiện","POS"
"Oidoioi a shipper tuyệt vời 😍 cứ tưởng hàng k đi ai ngờ hàng vẫn đi tuyệt vời lắm 😍 cacban nên mua nha","POS"
"Đóng gói hàng rất cẩn thận , giao hàng rất nhanh nha, lần sau sẽ ủng hộ tiếp","POS"
"3 cùng size nma cái to cái nhỏ ","NEU"
"Áo cũng đẹp , nhiều chỉ thừa ở tay thêd nhưng với giá này kh đòi hỏi","NEU"
"vải tốt nhưng màu chưa ưng í. hàng giá rẻ nên cx k đòi hỏi qá cao nchung xứng đáng để mua","NEU"
"Đẹp lắm nha mn, giao hàng nhanh, shipper dthw nha","POS"
"Trên hình in nổi nma k nhé. Với giá này thì hài lòng ời","NEU"
"Tiền nào của đấy ạ. Giao hàng nhanh hình ảnh và video k liên quan nhé","NEU"
"Nói chung sản phẩm phù hợp giá thành, nghe các bạn review thấy hay hay nên mua, thank you shop","POS"
"Áo giống hình, vải nóng nhưng khá đẹp, ship thân thiện giao đúng hạn nha","POS"
"Áo mịn với giá tiền rẻ rất hợp và ok nên mua nhé các bạn (hình ảnh chỉ mang tính nhận xu)","NEU"
"Toiii hài lòng về sản phẩm này ....   Vcn ycvjbbycrs3dnlmovgxeWxy. Hce,wzr g h g f","POS"
"Giao hàng nhanh áo mỏng mát giá rẻ nên tạm ổn","NEU"
"áo rất đẹp luôn ạ 🥰 . Mua về ai cũng kêu đẹp hết ..lần sau sẽ ghé mua ủng hộ shop tiếp ạ","POS"
"Đẹp hè od ít kệ bài đi đi đi đi đi đi đ không xin kcn  cj hình ảnh mang tính chất nhận xu","NEU"
"Sản phẩm ok.đóng hàng kỹ gọn gàng .giao hàng nhanh 10 điểm cho shop không có nhưng","POS"
"Mình đặt size đúng ko rộng cx ko chật nên mặt vừa luôn.màu đỏ khá là đẹp , hình in chuẩn đúng ko bị mất nét . Màu đen thì hình in ko đậm nên dễ bong lắm , nên chữ pari bị chấm chấm như mốc á . Nói chung là nên mua màu đỏ nha . Đây là ý kiến riêng của mình còn nên mua màu đen hay ko thì tùy nha .( hình ảnh vào video chỉ mang tính chất nhận xu ) 😁","NEU"
"Hỉnh ảnh mang tính chất nhận xu","NEU"
"Đúng với mô tả lần sau sẽ ủng hộ tíoo nhen","POS"
"hàng đẹp lắm luôn","POS"
"Quá ưng nên mua","POS"
"OK cancel để t đi gọi ý kiến của m về r này tí hon cực độc hài tết mới nhất cx","NEU"
"Đẹp nha form vừa vặn không bị chật quá","POS"
"Chào mừng bạn đến với bảng nhớ tạm của Gboard, bất kỳ văn bản nào bạn sao chép sẽ được lưu tại đây.","NEU"
"Lên cam thì đẹp nhưng bên ngoài rất xấu","NEG"
"Hàng giao nhanh dài thêm một xíu nữa là xuất sắc ảnh chỉ mang tính chất minh họa","NEU"
"Thanks shop.Áo vừa người, giao hàng hơi bị lâu nha shop. ......","NEU"
"Rẻ mà chất cung  mát tay nên mua nha mn,nói chung là ưng cái bụng","POS"
"Vải rất đẹp nhưng hơi mỏng tí ","NEU"
"Cần bán căn nhà Phường Bửu Long","NEU"
"Nhìn chung hợp với giá tiền. Hình ảnh giống minh họa.","NEU"
"Mong rằng những năm tháng sau này “ sự chân thành của em không bị rẻ mạt. Sự bao dung của em không bị lợi dụng. Sự hiểu chuyện của em không bị thiệt thòi ”","NEG"
"Rất xứng đáng đer mua đẹp dễ thương lắm","POS"
"Rộng thoait mái đúng size mặc mát mà còn rẻ nữa rất ưng","POS"
"Giao hàng nhanh , sản phẩm đẹp ","POS"
"áo đẹp ( hình ảnh chỉ mang tính chất nhận xu)","NEU"
"Shop làm ăn siu uy tín vải đẹp , shipper nhiệt tình 10₫","POS"
"Áo tạm được, chất liệu ko dày lắm","NEU"
"Sản phẩm đẹp, nhưng chữ in chìm ko in nổi như hình, tốttttt","NEU"
"Hàng về nhanh giá rẻ","POS"
"rẻ phù hợp với hc sinh","NEU"
"Hahowpqpqiwhekshwhwoqoquahvsbdnd","NEU"
"Áo đẹp nhm khá mỏng ","NEU"
"Chất lượng áo tạm ổn. Chất vải mỏng nói chung so với giá tiền thì Ko chê đâu đc","NEU"
"đẹp lắm luôn á nhe , vải tốt , shop tư vấn nhiệt tính lắmmmm luôn","POS"
"áo xinh lắm mà mỗi tội màu áo hơi sáng hơn so vs hình , ship thân thiên","POS"
"vải mỏng,có chỗ chỉ may kh đều nhưng đẹp nha.với số tiền như này là quá ổn áp r","NEU"
"Áo đẹp lắm mình mua giá rẻ nma áo đẹp cực giao hàng nhanh aaaaaaa","POS"
"vải mỏng, k rộng lắm b nào 65-70kg mặc k vừa đâu!!","NEG"
"đúng thì đúng đấy mà nó hơi mỏng í mua tren live đc giá hời ghê 30k một cái ,ai trên m7 lưu í nha chứ t m76 mặc nó cx không dài qua mông đâu chắc chạm mông thuii mà rẻ nên chỉ dc thế thui mua di ae","NEU"
"Kích thước chuẩn vừa người mặc ship nhanh và mặc vào rất thoáng mát","POS"
"Hơi dối nhưng mà ok cảm ơn shopp đã giao đếnnhanh","NEU"
"Kh đẹp nói chung quá tuyệt smshhejejrkrkrk","NEG"
"Màu đẹp áo đẹp shipper tthien","POS"
"Hình in thấp quá","NEG"
"Áo rất đẹp sờ rất thích vải mát dã mang hình in rõ đẹp rất ưng nha","POS"
"mỗi áo mỗi sz khác nhau vải thì mỏng cực luôn thất vọng hơn lần trước mua","NEG"
"Giao rất nhanh và đẹp nữa","POS"
"Giá rẻ nên mình không mong đợi là chất sẽ đẹp,phom áo thì rộng dài dã man mình 52kg mặc như váy,mỗi lần giặt đều bị phai nên phải giặt riêng","NEG"
"Màu không đẹp cho lắm, dạng vải mỏng, khác với mô tả, giá phù hợp, không bị rách hay có vết, hàng giao nhanh, shipper ổn","NEU"
"ship nhanh giao hàng chuẩn shop uy tín","POS"
"Áo xinh mà chú shipeer thân thiện lắm í nói chung là nên mua shop này nha mn","POS"
"Uầy uy tín quá chất vải mịn mềm khá tốt","POS"
"hợp với giá tiền, giao hàng nhanh","NEU"
"Ok nhaa ,giao hàng nhanh","NEU"
"Ui xinh cực mng mua đi tôy mặc quá mông cơ, vải mắt lémmmm","POS"
"Giao hàg nhah.chất vải cũg ok","NEU"
"Áo đẹp như trên hình màu đỏ đô rất tôn da mặc hơi nóng tí nhưng mà áo rất đẹp","POS"
"Áo hơi mỏng. Kh giống hình cho lắm. Cổ áo thì kh cùng với màu áooo. Mặc lên ok","NEU"
"Chất vải xịn","POS"
"Chất lượng sản phẩm tuyệt vời, đóng gói sản phẩm rất đẹp và chắc chắn","POS"
"hàng đẹp xịn quá trời lun nên mua nha mn ơi ship nhanh lắm nè","POS"
"Nhận được hàng rồi ạ, nhìn giống ảnh quảng cáo vải mỏng trong hình nhìn đẹp hơn, from hơi bé","NEU"
"Chất liệu vải tốt và thoáng mát","POS"
"Ship bơ dễ tính hàng đẹp Mn nên mua nha","POS"
"Áo đẹp giao rất nhanh và giá rẻ","POS"
"Tốt nên mua thử một lần","POS"
"Giao nhanh và đẹp lắm ạ","POS"
"Đóng gói cẩn thận","NEU"
"tổng quan lại áo đẹp mặc vừa hàng giao nhanh","POS"
"Màuuu đẹpp đúngg hình vải ổn ………","POS"
"Mặc vừa đẹp mát","POS"
"Áo mặc rất ưng và mát , chất  vải vừa vặn ko mỏng","POS"
"Hàng chuẩn, chú sippo tốt 💯","POS"
"Nên mua","POS"
"Sẽ mua lại lần 2 nhaaaa","POS"
"Áo Cx oce vải mát cho mùa này các bạn nên đặt nha","POS"
"Mình 37ki hơi rộng aaa","NEU"
"Vải mát mặc ok","POS"
"Cũng ok nha do giá rẻ","NEU"
"cứ nghĩ áo rộng mà mặc vừa nha, áo đẹp, giao hàng nhanh, màu đẹp,...","POS"
"Áo rất rộng và thoải mái, ít chỉ thừa","NEU"
"Chất mỏng ko đáng tin ","NEG"
"SHOP THỜI TRANG CAO CẤP CẦN TUYỂN NHÂN VIÊN","NEU"
"áo đẹp ok giá cx ok nốt😍","POS"
"Nên mua","POS"
"Đẹppp tuyet trầnnn","POS"
"Giao nhanh, sản phẩm phù hợp với giá tiền, chỉ thừa nhiều nhưng chấp nhận đc, ko đòi hỏi thêm","NEU"
"Áo xink vaii","POS"
"Rất tuyệt","POS"
"Mặc vào cx chất-)","POS"
"Tốt","POS"
"Nên mua mha mn","POS"
"Nên mua nha!","POS"
"Nên mua ngon bổ rẻ","POS"
"nên mua thử","POS"
"Shop giao hàng nhanh, đúng số lượng và mẫu mã","POS"
"Oke chất áo đẹp","POS"
"Đẹp mà hợp túi tiền nên mua nhé","POS"
"mà mặc lên ai cũng bảo áo ngủ🤣🤣","NEU"
"nênn mua nha mn","POS"
"Đẹp qua trời luonnn","POS"
"Hàng jim ấy. Vô bữa nơ Z chưa vs bn ê Răng Thưa yên uống ích Sớm Đức gia Hahah","NEU"
"Áo mặc thoải mái","POS"
"Vải tốt đẹp","POS"
"Vải hơi mỏng(ykr)","NEU"
"Tiền nào của nấy, chất thun mỏng te fom áo xấu đặt xl giao L.cổ áo may bị dảnh k đẹp","NEG"
"Hàng đẹp và giá cả hợp lí!","POS"
"Áo rất đẹp","POS"
"Chất vải thì oke nhưng kiểu áo ko đúng và ko đc đẹp cho lắm ở chữ bị bẩn rất nhìu","NEG"
"Nên mua","POS"
"Áo đẹp lắm nha","POS"
"vải tốt áo đẹp nói chung là đẹp nha","POS"
"Áo tôi OK","POS"
"Tôi rất thích sản phẩm của shop rất đẹp","POS"
"Vải mỏng cx ổn","NEU"
"Áo đẹp","POS"
"Giá rẻ","POS"
"Giao hàng nhanh,hàng đẹp❤️","POS"
"Tóm lại sản phẩm rất là đẹp","POS"
"chừa tội ko xem đánh giá trước=)) tưởng áo in nổi như hình với giá 50ka hời quá nhma nó ko có in nổi nha mng chỉ in lên thôi á","NEG"
"Hàng đẹp và rất vừa ý","POS"
"Áo chất lượng tốt giá vừa phải áo chất vải tốt","POS"
"Vải mỏng mát chứ không lộ áo ng*c.","NEU"
"Đóng gói cẩn thận hàng đẹp m.n nên mua","POS"
"Sản phẩm đẹp, vải mát. Tốt","POS"
"Tốt","POS"
"Tôii cao m 54 mua size M nhưng mà hàng về thì như size S có bạn nào cao như tôii thì nên mua size M nha","NEU"
"áo đẹp như trên hình","POS"
"giao hàng ko nhanh nha, áo quá chật và ko giống mẫu lỗi do mình nhưng mà vải thì ko giống mẫu thật nha, mỏng lắm, nma với giá như v thì ko mong đợi nhiều lắm nói chung ổn","NEU"
"Sản phẩm giá rẻ Giao hàng khá nhanh","NEU"
"mua cho thằng em mà nó siêu thích ý","POS"
"Sp giống hình.  shop trả lời tin nhắn nhanh gọn","POS"
"Mik m60 mặc hơi gắn","NEU"
"Giá thành ổn","NEU"
"Tuy áo đẹp nhưng hơi rộng với dài vào to. Nói chung với giá này thì áo cũng tạm đc.","NEU"
"Đẹp","POS"
"Sản phẩm rất tốt, giao hàng rất nhanh, đóng gói rất kỹ càng","POS"
"Neen mua vi do đẹp chat lieu tot giao hang than thien","POS"
"Nhm  giặt 1 lần bay luôn viền vs cả nó xù nữa","NEG"
"Áo hơi khác màu với hình mặc mát chất mỏng ok giao hàng nhanh chóng","NEU"
"CHIẾC ÁO CHIẾN THẮNG ĐẤU GIÁ 1k 💃💃💃","POS"
"Ok mà hở mỏng","NEU"
"Áo đẹp.","POS"
"Phải đánh giá 2 sao vì giao hàng quá nhanh. Mặc quá đẹp chất liệu mát ko bị nóng trừ 1 điểm vì giao quá nhanh trừ 2 điểm vì đồ quá đẹp","NEU"
"Sản phẩm giống hình,vải cx ok","POS"
"Rất đẹp,hơi rộng nha,giai hơi lâu","NEU"
"tiền nào của nấy thôi nói chung là ổn nhưng chất mỏng 1m5 mặc M vừa","NEU"
"Áo hơi ngắn so với tưởng tượng của mình. Đa số áo mình mặc toàn size s nhưng do đợt áo lần này mình muốn mặc rộng với dài hơn 1 xíu nên mình đặt size m. Đến lúc giao hàng thì mình khá ngạc nhiên vì nó ngắn hơn mình nghĩ. Vậy nên bạn nào muốn mặc rộng và dài cứ tăng 1 đến 2 size nha. Màu áo đẹp lắm nha mnguoi","NEU"
"Không thể thao tác giả valley Forge họ Geometridae jean nữ sinh","NEG"
"Giá tiền hợp lý vải hơi mỏng như với giá tiền này thì oki roi nha shop nhiệt tình giao hàng nhanh lắm","POS"
"Áo tốt chất vải rất phù hợp vs giá tiền.","POS"
"hình ảnh chỉ mang tính chất nhận xu thôi nhé","NEU"
"Áo xinh nhưng đặt phải size nhỏ nên thành baby tee luôn r🥲","NEU"
"Áo đẹp nhưng mà vải hơn mỏng","NEU"
"Hàng giao nhanh, gói hàng cẩn thận (hình ảnh và video chỉ để nhận xu)","NEU"
"Vì t mua giá rẻ nên chất ko đc đẹp , mỏng ý nhưng mà cũng ok","NEU"
"Đẹp nhưng bị lỗi","NEG"
"Cũng được 😅, mỗi tội hai bên ống áo hơi ngắn chữ hai bên ống áo bé hơn chữ ở giữa 1 chút","NEU"
"đừng để ý , đánh giá để nhận xu thui hihi","NEU"
"Rất nên mua","POS"
"Hình ảnh mang tính chất nhận xu","NEU"
"Đã nhận được áo, áo đẹp nha cảm ơn shop.","POS"
"vải mặc thích lắm mát nữa","POS"
"Oki nha","POS"
"Oke phết.  Vừa vặn. Lại còn rẻ. Sẽ ủng hộ shop nhiều hơn","POS"
"Rẻ mà đẹp chất lượng vải ko ngờ tới","POS"
"Hãy xem đánh giá kỹ trước khi mua","NEU"
"Áo mặc rất đẹp và mát","POS"
"áo mình mua sale nên có mỗi 1k thôi mà siêu đẹp luôn ý","POS"
"Áo rất đẹp và From rộng, ah shipper rất thân thiện và dễ thương, nhưg giao hàng hơi lâu ạ.","NEU"
"In thiếu chữ","NEG"
"Đẹp nha mọi người nên mua","POS"
"Tôi rất hài lòng với sản phẩm này rất đẹp và nên mua","POS"
"Vãi hơi chán nhưng tiền nào của nấy thế là đc rồi 😗","NEU"
"Áo cũng tạm được xgkvdujxshbchjhkkanabHhzhzjznznzjnzshjssn","NEU"
"áo mỏng lắm nha k giống trên hình lắm nma giá rẻ nên thôi cũng đc ạ","NEU"
"Đã nhận được hàng! Mình đặt 4 mà nhận được có 3 áo","NEG"
"Cũng ok nha mặc vừa thoải mái","NEU"
"Shipper thân thiện cho 5 sao","POS"
"Chất đẹp giao hành nhanh","POS"
"Áo rất đẹp nha mn nên mua nha","POS"
"Nói chung là cũng OK","NEU"
"Hàng đúng mẫu, đúng size, đủ số lượng, giao hàng hơi lâu","NEU"
"Hình ảnh mang tính chất minh hoạ. Shop đóng gói cẩn thận, rất đáng tiền để mua","POS"
"Tuyệt vời","POS"
"Ok tuyệt","POS"
"áo xinh","POS"
"Vk ko mai e dfi is the best one ever to have it in your mouth when I am in a hurry to be a part time and not my life","NEG"
"áo ok","NEU"
"Hàng đẹp nha nên muaz","POS"
"áo giaoo nhanhh nha , vải mặc mát lắm áo đẹp siêu đẹp lunnn á","POS"
"Tất cả đều ổn mỗi cái cổ áo hơi phèn","NEU"
"Tạm được màu sắc chư quảng cáo. Phom áo đẹp . Chất liệu tạm được . Nhưng mặc chắc nóng . Nnmmmmnn","NEU"
"Áo đẹp ạ","POS"
"Đẹp mặc đc nha","POS"
"đẹp,nên mua","POS"
"Siêu đẹp nên mua nhung hơi nóng","NEU"
"Đẹp, rẻ phù hợp với giá tiền","POS"
"10 điểm ko có nhưng","POS"
"Chao cãc bn","NEU"
"Áo đẹp lắm nha mn","POS"
"Hình ảnh mang tính chất minh hoạ vải đẹp giá ổn nên mua","POS"
"Đc nha nhưng mình mặc ko hợp =))","NEU"
"Chất vải oke ,co dan shop dễ thương","POS"
"Những sai M bé như sai S","NEU"
"OK lên mua.mặc mát và đẹp hơi mỏng xíu nma đẹp lên mua","NEU"
"Nên mua","POS"
"sản phảm tốt lắm ạ , ốp thì chắc chắn , màu xiu đẹp luôn ạ . nói chung cho shop 5 sao","POS"
"Vải đc vừa vs giá tiền mà áo tay dài tay ngắn","NEU"
"Cái áo kh khác gì cho chẻ con mặc bé tí xong mỏng tèo tuy là săn đc giá rẻ thật","NEG"
"Mỏng chất liệu không như nghĩ lỡ đặt biết sao kkk thật ngưỡng mộ bởi nhà shop","NEG"
"Cj ship rất nghiệp tình cho 5s","POS"
"với giá tiền như vậy thì vải kh đc dày dặn, nhưng cũng đẹp","NEU"
"vải ok nha xinh lắm ạ rcm mng mua nha giá rẻ vải xinh nên mua ạ he","POS"
"Hàng giao nhanh, áo đẹp nhưng hơi mỏng","NEU"
"Áo đẹp nhưng nhiều chỉ thừa","NEG"
"Chất không như mong đợi , chất thật sự rất mỏng và dễ xù . Nm anh ship vui tính và giao hàng nhanh","NEG"
"Áo đẹp.chất lượng.shop giáo nhanh.cảm ơn shop nhiều ạ","POS"
"đẹp, vải mát, giống như hình ảnh","POS"
"Vg I am going back in town for the holidays but I'm not going back in","NEU"
"Áo mặc đẹp ,mát.nhưng màu hơi đậm so vs mẫu","NEU"
"Nói chung vải   hơi mỏng và chất lượng thì gọi là ok ","NEU"
"Vải mỏng nha nhưng k sao giá rẻ nên cũng tạm","NEU"
"Ngoài đời không giống trên ảnh lắm chữ in hơi bé","NEG"
"nên mua nha mng","POS"
"Áo đẹp, đúng màu sắc và giao hàng nhanh, thân thiện.","POS"
"2 cái có 1 cái chỉ có 1 tay,chịu shopp ơi đền hộ,ib riêng em","NEG"
"Hình ảnh chỉ mang tính chất nhận xu nha mọi người ơi, nên tham khảo","NEG"
"Hơi to mong sóp ra cỡ bé hơn","NEG"
"Đồ khá đẹp và rẻ nửa nhìn rất ngầu","POS"
"Tui thấy ổn nha áo thì hơi mỏng xí nhưng mà hợp với giá tiền nê kh nói gì thêm , khẩu trang khá dày chất lượng khỏi phải bàn .Tui chấm hàng này 9.5đ nhen nên mua nha mấy bà .Dù ngày mai thế giới vãn đổi thay ,đưa em về nhà may trôi chiều ta sao trong lòng cứ muốn lối đi về càng xa đưa em về nhà","POS"
